[crop] groups=462 unmapped=0
  [Q] Mathematics_paper_1__TZ2_HL.pdf: 23 recs
  [Q] Mathematics_paper_2__TZ1_HL.pdf: 27 recs
  [Q] Mathematics_paper_2__TZ2_HL.pdf: 26 recs
  [Q] Mathematics_paper_3_Calculus__HL.pdf: 10 recs
  [Q] Mathematics_paper_3_Discrete_mathematics__HL.pdf: 13 recs
  [Q] Mathematics_paper_3_Sets_relations_and_groups__HL.pdf: 12 recs
  [Q] Mathematics_paper_3_Statistics_and_probability__HL.pdf: 15 recs
  [Q] Mathematics_paper_1__HL.pdf: 22 recs
  [Q] Mathematics_paper_2__HL.pdf: 23 recs
  [Q] Mathematics_paper_3_Calculus__HL.pdf: 9 recs
  [Q] Mathematics_paper_3_Discrete_mathematics__HL.pdf: 10 recs
  [Q] Mathematics_paper_3_Sets_relations_and_groups__HL.pdf: 14 recs
  [Q] Mathematics_paper_3_Statistics_and_probability__HL.pdf: 10 recs
  [Q] Mathematics_paper_1__HL.pdf: 25 recs
  [Q] Mathematics_paper_2__HL.pdf: 26 recs
  [Q] Mathematics_paper_3_Calculus__HL.pdf: 9 recs
  [Q] Mathematics_paper_3_Discrete_mathematics__HL.pdf: 10 recs
  [Q] Mathematics_paper_3_Sets_relations_and_groups__HL.pdf: 17 recs
  [Q] Mathematics_paper_3_Statistics_and_probability__HL.pdf: 15 recs
  [Q] Mathematics_analysis_and_approaches_paper_1__TZ1_HL.pdf: 26 recs
  [Q] Mathematics_analysis_and_approaches_paper_1__TZ2_HL.pdf: 24 recs
  [Q] Mathematics_analysis_and_approaches_paper_2__TZ1_HL.pdf: 37 recs
  [Q] Mathematics_analysis_and_approaches_paper_2__TZ2_HL.pdf: 37 recs
  [Q] Mathematics_analysis_and_approaches_paper_3__TZ1_HL.pdf: 12 recs
  [Q] Mathematics_analysis_and_approaches_paper_3__TZ2_HL.pdf: 12 recs
  [Q] Mathematics_analysis_and_approaches_paper_1__HL.pdf: 30 recs
  [Q] Mathematics_analysis_and_approaches_paper_2__HL.pdf: 34 recs
  [Q] Mathematics_analysis_and_approaches_paper_3__HL.pdf: 9 recs
  [Q] Mathematics_analysis_and_approaches_paper_1__TZ1_HL.pdf: 24 recs
  [Q] Mathematics_analysis_and_approaches_paper_1__TZ2_HL.pdf: 30 recs
  [Q] Mathematics_analysis_and_approaches_paper_2__TZ1_HL.pdf: 33 recs
  [Q] Mathematics_analysis_and_approaches_paper_2__TZ2_HL.pdf: 32 recs
  [Q] Mathematics_analysis_and_approaches_paper_3__TZ1_HL.pdf: 12 recs
  [Q] Mathematics_analysis_and_approaches_paper_3__TZ2_HL.pdf: 12 recs
